# x, y
-1.000000000000000000e+00 -9.589242935180664062e-01
-8.666666746139526367e-01 -8.051459789276123047e-01
-7.333333492279052734e-01 -3.676032125949859619e-01
-6.000000238418579102e-01 8.467200398445129395e-02
-4.666666686534881592e-01 3.374401032924652100e-01
-3.333333432674407959e-01 3.318026661872863770e-01
-2.000000029802322388e-01 1.682941913604736328e-01
-6.666667014360427856e-02 2.181298285722732544e-02
6.666667014360427856e-02 2.181298285722732544e-02
2.000000029802322388e-01 1.682941913604736328e-01
3.333333432674407959e-01 3.318026661872863770e-01
4.666666686534881592e-01 3.374401032924652100e-01
6.000000238418579102e-01 8.467200398445129395e-02
7.333333492279052734e-01 -3.676032125949859619e-01
8.666666746139526367e-01 -8.051459789276123047e-01
1.000000000000000000e+00 -9.589242935180664062e-01
